El valor para la propiedad "n" es "10"
El valor para la propiedad "m" es "10"
El valor para la propiedad "delta_p" es "0.001"
El valor para la propiedad "cantidad_rocas" es "500"

p,Θ(p)
0.0,0.0
0.001,0.0
0.002,0.0
0.003,0.0
0.004,0.0
0.0050000004,0.0
0.0060000005,0.0
0.0070000007,0.0
0.008,0.0
0.009000001,0.0
0.010000001,0.0
0.011000001,0.0
0.012000001,0.0
0.013000001,0.0
0.014000001,0.0
0.0150000015,0.0
0.016,0.0
0.017,0.0
0.018000001,0.0
0.019000001,0.0
0.020000001,0.0
0.021000002,0.0
0.022000002,0.0
0.023000002,0.0
0.024000002,0.0
0.025000002,0.0
0.026000002,0.0
0.027000003,0.0
0.028000003,0.0
0.029000003,0.0
0.030000003,0.0
0.031000003,0.0
0.032,0.0
0.033,0.0
0.033999998,0.0
0.034999996,0.0
0.035999995,0.0
0.036999993,0.0
0.03799999,0.0
0.03899999,0.0
0.039999988,0.0
0.040999986,0.0
0.041999985,0.0
0.042999983,0.0
0.04399998,0.0
0.04499998,0.0
0.045999978,0.0
0.046999976,0.0
0.047999974,0.0
0.048999973,0.0
0.04999997,0.0
0.05099997,0.0
0.051999968,0.0
0.052999966,0.0
0.053999964,0.0
0.054999962,0.0
0.05599996,0.0
0.05699996,0.0
0.057999957,0.0
0.058999956,0.0
0.059999954,0.0
0.060999952,0.0
0.06199995,0.0
0.06299995,0.0
0.06399995,0.0
0.06499995,0.0
0.065999955,0.0
0.06699996,0.0
0.06799996,0.0
0.06899996,0.0
0.06999996,0.0
0.070999965,0.0
0.07199997,0.0
0.07299997,0.0
0.07399997,0.0
0.07499997,0.0
0.075999975,0.0
0.07699998,0.0
0.07799998,0.0
0.07899998,0.0
0.07999998,0.0
0.080999985,0.0
0.08199999,0.0
0.08299999,0.0
0.08399999,0.0
0.08499999,0.0
0.085999995,0.0
0.087,0.0
0.088,0.0
0.089,0.0
0.09,0.0
0.091000006,0.0
0.09200001,0.0
0.09300001,0.0
0.09400001,0.0
0.09500001,0.0
0.096000016,0.0
0.09700002,0.0
0.09800002,0.0
0.09900002,0.0
0.100000024,0.0
0.101000026,0.0
0.10200003,0.0
0.10300003,0.0
0.10400003,0.0
0.105000034,0.0
0.106000036,0.0
0.10700004,0.0
0.10800004,0.0
0.10900004,0.0
0.110000044,0.0
0.111000046,0.0
0.11200005,0.0
0.11300005,0.0
0.11400005,0.0
0.115000054,0.0
0.116000056,0.0
0.11700006,0.0
0.11800006,0.0
0.11900006,0.0
